Resistance Fitness Multiplier,Introduction Frequency,Generations to 99% drive-carrying individuals
0.0,0.0,1000
0.0,0.01,1000
0.0,0.02,1000
0.0,0.03,1000
0.0,0.04,1000
0.0,0.05,1000
0.0,0.06,1000
0.0,0.07,1000
0.0,0.08,1000
0.0,0.09,1000
0.0,0.1,1000
0.0,0.11,1000
0.0,0.12,1000
0.0,0.13,1000
0.0,0.14,1000
0.0,0.15,1000
0.0,0.16,1000
0.0,0.17,1000
0.0,0.18,1000
0.0,0.19,1000
0.0,0.2,1000
0.0,0.21,1000
0.0,0.22,1000
0.0,0.23,1000
0.0,0.24,1000
0.0,0.25,1000
0.0,0.26,1000
0.0,0.27,1000
0.0,0.28,1000
0.0,0.29,1000
0.0,0.3,1000
0.0,0.31,1000
0.0,0.32,1000
0.0,0.33,1000
0.0,0.34,1000
0.0,0.35,1000
0.0,0.36,1000
0.0,0.37,1000
0.0,0.38,1000
0.0,0.39,1000
0.0,0.4,1000
0.0,0.41,1000
0.0,0.42,1000
0.0,0.43,1000
0.0,0.44,1000
0.0,0.45,1000
0.0,0.46,1000
0.0,0.47,1000
0.0,0.48,1000
0.0,0.49,1000
0.0,0.5,9.25
0.0,0.51,7.7
0.0,0.52,6.1
0.0,0.53,6.0
0.0,0.54,5.0
0.0,0.55,5.0
0.0,0.56,5.0
0.0,0.57,4.3
0.0,0.58,4.0
0.0,0.59,4.0
0.0,0.6,4.0
0.0,0.61,4.0
0.0,0.62,4.0
0.0,0.63,3.8
0.0,0.64,3.0
0.0,0.65,3.0
0.0,0.66,3.0
0.0,0.67,3.0
0.0,0.68,3.0
0.0,0.69,3.0
0.0,0.7,3.0
0.01,0.0,1000
0.01,0.01,1000
0.01,0.02,1000
0.01,0.03,1000
0.01,0.04,1000
0.01,0.05,1000
0.01,0.06,1000
0.01,0.07,1000
0.01,0.08,1000
0.01,0.09,1000
0.01,0.1,1000
0.01,0.11,1000
0.01,0.12,1000
0.01,0.13,1000
0.01,0.14,1000
0.01,0.15,1000
0.01,0.16,1000
0.01,0.17,1000
0.01,0.18,1000
0.01,0.19,1000
0.01,0.2,1000
0.01,0.21,1000
0.01,0.22,1000
0.01,0.23,1000
0.01,0.24,1000
0.01,0.25,1000
0.01,0.26,1000
0.01,0.27,1000
0.01,0.28,1000
0.01,0.29,1000
0.01,0.3,1000
0.01,0.31,1000
0.01,0.32,1000
0.01,0.33,1000
0.01,0.34,1000
0.01,0.35,1000
0.01,0.36,1000
0.01,0.37,1000
0.01,0.38,1000
0.01,0.39,1000
0.01,0.4,1000
0.01,0.41,1000
0.01,0.42,1000
0.01,0.43,1000
0.01,0.44,1000
0.01,0.45,1000
0.01,0.46,1000
0.01,0.47,13.0
0.01,0.48,9.0
0.01,0.49,7.0
0.01,0.5,6.3
0.01,0.51,6.0
0.01,0.52,5.9
0.01,0.53,5.0
0.01,0.54,5.0
0.01,0.55,5.0
0.01,0.56,5.0
0.01,0.57,4.2
0.01,0.58,4.0
0.01,0.59,4.0
0.01,0.6,4.0
0.01,0.61,4.0
0.01,0.62,4.0
0.01,0.63,4.0
0.01,0.64,4.0
0.01,0.65,3.1
0.01,0.66,3.0
0.01,0.67,3.0
0.01,0.68,3.0
0.01,0.69,3.0
0.01,0.7,3.0
0.02,0.0,1000
0.02,0.01,1000
0.02,0.02,1000
0.02,0.03,1000
0.02,0.04,1000
0.02,0.05,1000
0.02,0.06,1000
0.02,0.07,1000
0.02,0.08,1000
0.02,0.09,1000
0.02,0.1,1000
0.02,0.11,1000
0.02,0.12,1000
0.02,0.13,1000
0.02,0.14,1000
0.02,0.15,1000
0.02,0.16,1000
0.02,0.17,1000
0.02,0.18,1000
0.02,0.19,1000
0.02,0.2,1000
0.02,0.21,1000
0.02,0.22,1000
0.02,0.23,1000
0.02,0.24,1000
0.02,0.25,1000
0.02,0.26,1000
0.02,0.27,1000
0.02,0.28,1000
0.02,0.29,1000
0.02,0.3,1000
0.02,0.31,1000
0.02,0.32,1000
0.02,0.33,1000
0.02,0.34,1000
0.02,0.35,1000
0.02,0.36,1000
0.02,0.37,1000
0.02,0.38,1000
0.02,0.39,1000
0.02,0.4,1000
0.02,0.41,1000
0.02,0.42,1000
0.02,0.43,1000
0.02,0.44,1000
0.02,0.45,1000
0.02,0.46,13.25
0.02,0.47,8.5
0.02,0.48,7.2
0.02,0.49,6.7
0.02,0.5,6.0
0.02,0.51,6.0
0.02,0.52,5.3
0.02,0.53,5.0
0.02,0.54,5.0
0.02,0.55,5.0
0.02,0.56,5.0
0.02,0.57,4.0
0.02,0.58,4.0
0.02,0.59,4.0
0.02,0.6,4.0
0.02,0.61,4.0
0.02,0.62,4.0
0.02,0.63,4.0
0.02,0.64,4.0
0.02,0.65,4.0
0.02,0.66,3.0
0.02,0.67,3.0
0.02,0.68,3.0
0.02,0.69,3.0
0.02,0.7,3.0
0.03,0.0,1000
0.03,0.01,1000
0.03,0.02,1000
0.03,0.03,1000
0.03,0.04,1000
0.03,0.05,1000
0.03,0.06,1000
0.03,0.07,1000
0.03,0.08,1000
0.03,0.09,1000
0.03,0.1,1000
0.03,0.11,1000
0.03,0.12,1000
0.03,0.13,1000
0.03,0.14,1000
0.03,0.15,1000
0.03,0.16,1000
0.03,0.17,1000
0.03,0.18,1000
0.03,0.19,1000
0.03,0.2,1000
0.03,0.21,1000
0.03,0.22,1000
0.03,0.23,1000
0.03,0.24,1000
0.03,0.25,1000
0.03,0.26,1000
0.03,0.27,1000
0.03,0.28,1000
0.03,0.29,1000
0.03,0.3,1000
0.03,0.31,1000
0.03,0.32,1000
0.03,0.33,1000
0.03,0.34,1000
0.03,0.35,1000
0.03,0.36,1000
0.03,0.37,1000
0.03,0.38,1000
0.03,0.39,1000
0.03,0.4,1000
0.03,0.41,1000
0.03,0.42,1000
0.03,0.43,1000
0.03,0.44,1000
0.03,0.45,11.0
0.03,0.46,8.7
0.03,0.47,7.5
0.03,0.48,7.0
0.03,0.49,6.0
0.03,0.5,6.0
0.03,0.51,6.0
0.03,0.52,5.1
0.03,0.53,5.0
0.03,0.54,5.0
0.03,0.55,5.0
0.03,0.56,5.0
0.03,0.57,4.4
0.03,0.58,4.0
0.03,0.59,4.0
0.03,0.6,4.0
0.03,0.61,4.0
0.03,0.62,4.0
0.03,0.63,4.0
0.03,0.64,4.0
0.03,0.65,4.0
0.03,0.66,3.8
0.03,0.67,3.0
0.03,0.68,3.0
0.03,0.69,3.0
0.03,0.7,3.0
0.04,0.0,1000
0.04,0.01,1000
0.04,0.02,1000
0.04,0.03,1000
0.04,0.04,1000
0.04,0.05,1000
0.04,0.06,1000
0.04,0.07,1000
0.04,0.08,1000
0.04,0.09,1000
0.04,0.1,1000
0.04,0.11,1000
0.04,0.12,1000
0.04,0.13,1000
0.04,0.14,1000
0.04,0.15,1000
0.04,0.16,1000
0.04,0.17,1000
0.04,0.18,1000
0.04,0.19,1000
0.04,0.2,1000
0.04,0.21,1000
0.04,0.22,1000
0.04,0.23,1000
0.04,0.24,1000
0.04,0.25,1000
0.04,0.26,1000
0.04,0.27,1000
0.04,0.28,1000
0.04,0.29,1000
0.04,0.3,1000
0.04,0.31,1000
0.04,0.32,1000
0.04,0.33,1000
0.04,0.34,1000
0.04,0.35,1000
0.04,0.36,1000
0.04,0.37,1000
0.04,0.38,1000
0.04,0.39,1000
0.04,0.4,1000
0.04,0.41,1000
0.04,0.42,1000
0.04,0.43,1000
0.04,0.44,15.0
0.04,0.45,9.6
0.04,0.46,8.0
0.04,0.47,7.0
0.04,0.48,6.8
0.04,0.49,6.0
0.04,0.5,6.0
0.04,0.51,6.0
0.04,0.52,5.0
0.04,0.53,5.0
0.04,0.54,5.0
0.04,0.55,5.0
0.04,0.56,5.0
0.04,0.57,4.7
0.04,0.58,4.1
0.04,0.59,4.0
0.04,0.6,4.0
0.04,0.61,4.0
0.04,0.62,4.0
0.04,0.63,4.0
0.04,0.64,4.0
0.04,0.65,4.0
0.04,0.66,4.0
0.04,0.67,3.3
0.04,0.68,3.0
0.04,0.69,3.0
0.04,0.7,3.0
0.05,0.0,1000
0.05,0.01,1000
0.05,0.02,1000
0.05,0.03,1000
0.05,0.04,1000
0.05,0.05,1000
0.05,0.06,1000
0.05,0.07,1000
0.05,0.08,1000
0.05,0.09,1000
0.05,0.1,1000
0.05,0.11,1000
0.05,0.12,1000
0.05,0.13,1000
0.05,0.14,1000
0.05,0.15,1000
0.05,0.16,1000
0.05,0.17,1000
0.05,0.18,1000
0.05,0.19,1000
0.05,0.2,1000
0.05,0.21,1000
0.05,0.22,1000
0.05,0.23,1000
0.05,0.24,1000
0.05,0.25,1000
0.05,0.26,1000
0.05,0.27,1000
0.05,0.28,1000
0.05,0.29,1000
0.05,0.3,1000
0.05,0.31,1000
0.05,0.32,1000
0.05,0.33,1000
0.05,0.34,1000
0.05,0.35,1000
0.05,0.36,1000
0.05,0.37,1000
0.05,0.38,1000
0.05,0.39,1000
0.05,0.4,1000
0.05,0.41,1000
0.05,0.42,1000
0.05,0.43,16.0
0.05,0.44,10.4
0.05,0.45,8.5
0.05,0.46,7.6
0.05,0.47,7.0
0.05,0.48,6.5
0.05,0.49,6.0
0.05,0.5,6.0
0.05,0.51,6.0
0.05,0.52,5.1
0.05,0.53,5.0
0.05,0.54,5.0
0.05,0.55,5.0
0.05,0.56,5.0
0.05,0.57,5.0
0.05,0.58,4.4
0.05,0.59,4.0
0.05,0.6,4.0
0.05,0.61,4.0
0.05,0.62,4.0
0.05,0.63,4.0
0.05,0.64,4.0
0.05,0.65,4.0
0.05,0.66,4.0
0.05,0.67,4.0
0.05,0.68,3.1
0.05,0.69,3.0
0.05,0.7,3.0
0.06,0.0,1000
0.06,0.01,1000
0.06,0.02,1000
0.06,0.03,1000
0.06,0.04,1000
0.06,0.05,1000
0.06,0.06,1000
0.06,0.07,1000
0.06,0.08,1000
0.06,0.09,1000
0.06,0.1,1000
0.06,0.11,1000
0.06,0.12,1000
0.06,0.13,1000
0.06,0.14,1000
0.06,0.15,1000
0.06,0.16,1000
0.06,0.17,1000
0.06,0.18,1000
0.06,0.19,1000
0.06,0.2,1000
0.06,0.21,1000
0.06,0.22,1000
0.06,0.23,1000
0.06,0.24,1000
0.06,0.25,1000
0.06,0.26,1000
0.06,0.27,1000
0.06,0.28,1000
0.06,0.29,1000
0.06,0.3,1000
0.06,0.31,1000
0.06,0.32,1000
0.06,0.33,1000
0.06,0.34,1000
0.06,0.35,1000
0.06,0.36,1000
0.06,0.37,1000
0.06,0.38,1000
0.06,0.39,1000
0.06,0.4,1000
0.06,0.41,1000
0.06,0.42,1000
0.06,0.43,11.5
0.06,0.44,9.0
0.06,0.45,8.0
0.06,0.46,7.0
0.06,0.47,7.0
0.06,0.48,6.2
0.06,0.49,6.0
0.06,0.5,6.0
0.06,0.51,6.0
0.06,0.52,5.1
0.06,0.53,5.0
0.06,0.54,5.0
0.06,0.55,5.0
0.06,0.56,5.0
0.06,0.57,5.0
0.06,0.58,4.7
0.06,0.59,4.0
0.06,0.6,4.0
0.06,0.61,4.0
0.06,0.62,4.0
0.06,0.63,4.0
0.06,0.64,4.0
0.06,0.65,4.0
0.06,0.66,4.0
0.06,0.67,4.0
0.06,0.68,3.7
0.06,0.69,3.0
0.06,0.7,3.0
0.07,0.0,1000
0.07,0.01,1000
0.07,0.02,1000
0.07,0.03,1000
0.07,0.04,1000
0.07,0.05,1000
0.07,0.06,1000
0.07,0.07,1000
0.07,0.08,1000
0.07,0.09,1000
0.07,0.1,1000
0.07,0.11,1000
0.07,0.12,1000
0.07,0.13,1000
0.07,0.14,1000
0.07,0.15,1000
0.07,0.16,1000
0.07,0.17,1000
0.07,0.18,1000
0.07,0.19,1000
0.07,0.2,1000
0.07,0.21,1000
0.07,0.22,1000
0.07,0.23,1000
0.07,0.24,1000
0.07,0.25,1000
0.07,0.26,1000
0.07,0.27,1000
0.07,0.28,1000
0.07,0.29,1000
0.07,0.3,1000
0.07,0.31,1000
0.07,0.32,1000
0.07,0.33,1000
0.07,0.34,1000
0.07,0.35,1000
0.07,0.36,1000
0.07,0.37,1000
0.07,0.38,1000
0.07,0.39,1000
0.07,0.4,1000
0.07,0.41,1000
0.07,0.42,12.5
0.07,0.43,9.7
0.07,0.44,8.1
0.07,0.45,7.9
0.07,0.46,7.0
0.07,0.47,7.0
0.07,0.48,6.0
0.07,0.49,6.0
0.07,0.5,6.0
0.07,0.51,6.0
0.07,0.52,5.0
0.07,0.53,5.0
0.07,0.54,5.0
0.07,0.55,5.0
0.07,0.56,5.0
0.07,0.57,5.0
0.07,0.58,4.9
0.07,0.59,4.2
0.07,0.6,4.0
0.07,0.61,4.0
0.07,0.62,4.0
0.07,0.63,4.0
0.07,0.64,4.0
0.07,0.65,4.0
0.07,0.66,4.0
0.07,0.67,4.0
0.07,0.68,3.9
0.07,0.69,3.2
0.07,0.7,3.0
0.08,0.0,1000
0.08,0.01,1000
0.08,0.02,1000
0.08,0.03,1000
0.08,0.04,1000
0.08,0.05,1000
0.08,0.06,1000
0.08,0.07,1000
0.08,0.08,1000
0.08,0.09,1000
0.08,0.1,1000
0.08,0.11,1000
0.08,0.12,1000
0.08,0.13,1000
0.08,0.14,1000
0.08,0.15,1000
0.08,0.16,1000
0.08,0.17,1000
0.08,0.18,1000
0.08,0.19,1000
0.08,0.2,1000
0.08,0.21,1000
0.08,0.22,1000
0.08,0.23,1000
0.08,0.24,1000
0.08,0.25,1000
0.08,0.26,1000
0.08,0.27,1000
0.08,0.28,1000
0.08,0.29,1000
0.08,0.3,1000
0.08,0.31,1000
0.08,0.32,1000
0.08,0.33,1000
0.08,0.34,1000
0.08,0.35,1000
0.08,0.36,1000
0.08,0.37,1000
0.08,0.38,1000
0.08,0.39,1000
0.08,0.4,1000
0.08,0.41,13.333
0.08,0.42,10.4
0.08,0.43,9.0
0.08,0.44,8.0
0.08,0.45,7.7
0.08,0.46,7.0
0.08,0.47,7.0
0.08,0.48,6.0
0.08,0.49,6.0
0.08,0.5,6.0
0.08,0.51,6.0
0.08,0.52,5.1
0.08,0.53,5.0
0.08,0.54,5.0
0.08,0.55,5.0
0.08,0.56,5.0
0.08,0.57,5.0
0.08,0.58,5.0
0.08,0.59,4.4
0.08,0.6,4.0
0.08,0.61,4.0
0.08,0.62,4.0
0.08,0.63,4.0
0.08,0.64,4.0
0.08,0.65,4.0
0.08,0.66,4.0
0.08,0.67,4.0
0.08,0.68,4.0
0.08,0.69,3.9
0.08,0.7,3.0
0.09,0.0,1000
0.09,0.01,1000
0.09,0.02,1000
0.09,0.03,1000
0.09,0.04,1000
0.09,0.05,1000
0.09,0.06,1000
0.09,0.07,1000
0.09,0.08,1000
0.09,0.09,1000
0.09,0.1,1000
0.09,0.11,1000
0.09,0.12,1000
0.09,0.13,1000
0.09,0.14,1000
0.09,0.15,1000
0.09,0.16,1000
0.09,0.17,1000
0.09,0.18,1000
0.09,0.19,1000
0.09,0.2,1000
0.09,0.21,1000
0.09,0.22,1000
0.09,0.23,1000
0.09,0.24,1000
0.09,0.25,1000
0.09,0.26,1000
0.09,0.27,1000
0.09,0.28,1000
0.09,0.29,1000
0.09,0.3,1000
0.09,0.31,1000
0.09,0.32,1000
0.09,0.33,1000
0.09,0.34,1000
0.09,0.35,1000
0.09,0.36,1000
0.09,0.37,1000
0.09,0.38,1000
0.09,0.39,1000
0.09,0.4,1000
0.09,0.41,12.7
0.09,0.42,9.5
0.09,0.43,8.5
0.09,0.44,8.0
0.09,0.45,7.2
0.09,0.46,7.0
0.09,0.47,7.0
0.09,0.48,6.0
0.09,0.49,6.0
0.09,0.5,6.0
0.09,0.51,6.0
0.09,0.52,5.2
0.09,0.53,5.0
0.09,0.54,5.0
0.09,0.55,5.0
0.09,0.56,5.0
0.09,0.57,5.0
0.09,0.58,5.0
0.09,0.59,5.0
0.09,0.6,4.1
0.09,0.61,4.0
0.09,0.62,4.0
0.09,0.63,4.0
0.09,0.64,4.0
0.09,0.65,4.0
0.09,0.66,4.0
0.09,0.67,4.0
0.09,0.68,4.0
0.09,0.69,4.0
0.09,0.7,3.2
0.1,0.0,1000
0.1,0.01,1000
0.1,0.02,1000
0.1,0.03,1000
0.1,0.04,1000
0.1,0.05,1000
0.1,0.06,1000
0.1,0.07,1000
0.1,0.08,1000
0.1,0.09,1000
0.1,0.1,1000
0.1,0.11,1000
0.1,0.12,1000
0.1,0.13,1000
0.1,0.14,1000
0.1,0.15,1000
0.1,0.16,1000
0.1,0.17,1000
0.1,0.18,1000
0.1,0.19,1000
0.1,0.2,1000
0.1,0.21,1000
0.1,0.22,1000
0.1,0.23,1000
0.1,0.24,1000
0.1,0.25,1000
0.1,0.26,1000
0.1,0.27,1000
0.1,0.28,1000
0.1,0.29,1000
0.1,0.3,1000
0.1,0.31,1000
0.1,0.32,1000
0.1,0.33,1000
0.1,0.34,1000
0.1,0.35,1000
0.1,0.36,1000
0.1,0.37,1000
0.1,0.38,1000
0.1,0.39,1000
0.1,0.4,15.0
0.1,0.41,10.5
0.1,0.42,9.0
0.1,0.43,8.2
0.1,0.44,8.0
0.1,0.45,7.1
0.1,0.46,7.0
0.1,0.47,7.0
0.1,0.48,6.0
0.1,0.49,6.0
0.1,0.5,6.0
0.1,0.51,6.0
0.1,0.52,5.7
0.1,0.53,5.0
0.1,0.54,5.0
0.1,0.55,5.0
0.1,0.56,5.0
0.1,0.57,5.0
0.1,0.58,5.0
0.1,0.59,4.9
0.1,0.6,4.4
0.1,0.61,4.0
0.1,0.62,4.0
0.1,0.63,4.0
0.1,0.64,4.0
0.1,0.65,4.0
0.1,0.66,4.0
0.1,0.67,4.0
0.1,0.68,4.0
0.1,0.69,4.0
0.1,0.7,3.8
0.11,0.0,1000
0.11,0.01,1000
0.11,0.02,1000
0.11,0.03,1000
0.11,0.04,1000
0.11,0.05,1000
0.11,0.06,1000
0.11,0.07,1000
0.11,0.08,1000
0.11,0.09,1000
0.11,0.1,1000
0.11,0.11,1000
0.11,0.12,1000
0.11,0.13,1000
0.11,0.14,1000
0.11,0.15,1000
0.11,0.16,1000
0.11,0.17,1000
0.11,0.18,1000
0.11,0.19,1000
0.11,0.2,1000
0.11,0.21,1000
0.11,0.22,1000
0.11,0.23,1000
0.11,0.24,1000
0.11,0.25,1000
0.11,0.26,1000
0.11,0.27,1000
0.11,0.28,1000
0.11,0.29,1000
0.11,0.3,1000
0.11,0.31,1000
0.11,0.32,1000
0.11,0.33,1000
0.11,0.34,1000
0.11,0.35,1000
0.11,0.36,1000
0.11,0.37,1000
0.11,0.38,1000
0.11,0.39,1000
0.11,0.4,11.6
0.11,0.41,9.8
0.11,0.42,8.9
0.11,0.43,8.0
0.11,0.44,7.9
0.11,0.45,7.0
0.11,0.46,7.0
0.11,0.47,7.0
0.11,0.48,6.0
0.11,0.49,6.0
0.11,0.5,6.0
0.11,0.51,6.0
0.11,0.52,5.9
0.11,0.53,5.1
0.11,0.54,5.0
0.11,0.55,5.0
0.11,0.56,5.0
0.11,0.57,5.0
0.11,0.58,5.0
0.11,0.59,5.0
0.11,0.6,4.9
0.11,0.61,4.0
0.11,0.62,4.0
0.11,0.63,4.0
0.11,0.64,4.0
0.11,0.65,4.0
0.11,0.66,4.0
0.11,0.67,4.0
0.11,0.68,4.0
0.11,0.69,4.0
0.11,0.7,4.0
0.12,0.0,1000
0.12,0.01,1000
0.12,0.02,1000
0.12,0.03,1000
0.12,0.04,1000
0.12,0.05,1000
0.12,0.06,1000
0.12,0.07,1000
0.12,0.08,1000
0.12,0.09,1000
0.12,0.1,1000
0.12,0.11,1000
0.12,0.12,1000
0.12,0.13,1000
0.12,0.14,1000
0.12,0.15,1000
0.12,0.16,1000
0.12,0.17,1000
0.12,0.18,1000
0.12,0.19,1000
0.12,0.2,1000
0.12,0.21,1000
0.12,0.22,1000
0.12,0.23,1000
0.12,0.24,1000
0.12,0.25,1000
0.12,0.26,1000
0.12,0.27,1000
0.12,0.28,1000
0.12,0.29,1000
0.12,0.3,1000
0.12,0.31,1000
0.12,0.32,1000
0.12,0.33,1000
0.12,0.34,1000
0.12,0.35,1000
0.12,0.36,1000
0.12,0.37,1000
0.12,0.38,1000
0.12,0.39,13.4
0.12,0.4,10.7
0.12,0.41,9.2
0.12,0.42,8.4
0.12,0.43,8.0
0.12,0.44,7.5
0.12,0.45,7.0
0.12,0.46,7.0
0.12,0.47,7.0
0.12,0.48,6.0
0.12,0.49,6.0
0.12,0.5,6.0
0.12,0.51,6.0
0.12,0.52,6.0
0.12,0.53,5.3
0.12,0.54,5.0
0.12,0.55,5.0
0.12,0.56,5.0
0.12,0.57,5.0
0.12,0.58,5.0
0.12,0.59,5.0
0.12,0.6,5.0
0.12,0.61,4.1
0.12,0.62,4.0
0.12,0.63,4.0
0.12,0.64,4.0
0.12,0.65,4.0
0.12,0.66,4.0
0.12,0.67,4.0
0.12,0.68,4.0
0.12,0.69,4.0
0.12,0.7,4.0
0.13,0.0,1000
0.13,0.01,1000
0.13,0.02,1000
0.13,0.03,1000
0.13,0.04,1000
0.13,0.05,1000
0.13,0.06,1000
0.13,0.07,1000
0.13,0.08,1000
0.13,0.09,1000
0.13,0.1,1000
0.13,0.11,1000
0.13,0.12,1000
0.13,0.13,1000
0.13,0.14,1000
0.13,0.15,1000
0.13,0.16,1000
0.13,0.17,1000
0.13,0.18,1000
0.13,0.19,1000
0.13,0.2,1000
0.13,0.21,1000
0.13,0.22,1000
0.13,0.23,1000
0.13,0.24,1000
0.13,0.25,1000
0.13,0.26,1000
0.13,0.27,1000
0.13,0.28,1000
0.13,0.29,1000
0.13,0.3,1000
0.13,0.31,1000
0.13,0.32,1000
0.13,0.33,1000
0.13,0.34,1000
0.13,0.35,1000
0.13,0.36,1000
0.13,0.37,1000
0.13,0.38,15.4
0.13,0.39,11.5
0.13,0.4,10.1
0.13,0.41,9.0
0.13,0.42,8.5
0.13,0.43,8.0
0.13,0.44,7.3
0.13,0.45,7.0
0.13,0.46,7.0
0.13,0.47,7.0
0.13,0.48,6.2
0.13,0.49,6.0
0.13,0.5,6.0
0.13,0.51,6.0
0.13,0.52,6.0
0.13,0.53,5.6
0.13,0.54,5.0
0.13,0.55,5.0
0.13,0.56,5.0
0.13,0.57,5.0
0.13,0.58,5.0
0.13,0.59,5.0
0.13,0.6,5.0
0.13,0.61,4.8
0.13,0.62,4.0
0.13,0.63,4.0
0.13,0.64,4.0
0.13,0.65,4.0
0.13,0.66,4.0
0.13,0.67,4.0
0.13,0.68,4.0
0.13,0.69,4.0
0.13,0.7,4.0
0.14,0.0,1000
0.14,0.01,1000
0.14,0.02,1000
0.14,0.03,1000
0.14,0.04,1000
0.14,0.05,1000
0.14,0.06,1000
0.14,0.07,1000
0.14,0.08,1000
0.14,0.09,1000
0.14,0.1,1000
0.14,0.11,1000
0.14,0.12,1000
0.14,0.13,1000
0.14,0.14,1000
0.14,0.15,1000
0.14,0.16,1000
0.14,0.17,1000
0.14,0.18,1000
0.14,0.19,1000
0.14,0.2,1000
0.14,0.21,1000
0.14,0.22,1000
0.14,0.23,1000
0.14,0.24,1000
0.14,0.25,1000
0.14,0.26,1000
0.14,0.27,1000
0.14,0.28,1000
0.14,0.29,1000
0.14,0.3,1000
0.14,0.31,1000
0.14,0.32,1000
0.14,0.33,1000
0.14,0.34,1000
0.14,0.35,1000
0.14,0.36,1000
0.14,0.37,1000
0.14,0.38,13.2
0.14,0.39,10.7
0.14,0.4,9.5
0.14,0.41,9.0
0.14,0.42,8.2
0.14,0.43,8.0
0.14,0.44,7.5
0.14,0.45,7.0
0.14,0.46,7.0
0.14,0.47,7.0
0.14,0.48,6.0
0.14,0.49,6.0
0.14,0.5,6.0
0.14,0.51,6.0
0.14,0.52,6.0
0.14,0.53,5.8
0.14,0.54,5.0
0.14,0.55,5.0
0.14,0.56,5.0
0.14,0.57,5.0
0.14,0.58,5.0
0.14,0.59,5.0
0.14,0.6,5.0
0.14,0.61,5.0
0.14,0.62,4.2
0.14,0.63,4.0
0.14,0.64,4.0
0.14,0.65,4.0
0.14,0.66,4.0
0.14,0.67,4.0
0.14,0.68,4.0
0.14,0.69,4.0
0.14,0.7,4.0
0.15,0.0,1000
0.15,0.01,1000
0.15,0.02,1000
0.15,0.03,1000
0.15,0.04,1000
0.15,0.05,1000
0.15,0.06,1000
0.15,0.07,1000
0.15,0.08,1000
0.15,0.09,1000
0.15,0.1,1000
0.15,0.11,1000
0.15,0.12,1000
0.15,0.13,1000
0.15,0.14,1000
0.15,0.15,1000
0.15,0.16,1000
0.15,0.17,1000
0.15,0.18,1000
0.15,0.19,1000
0.15,0.2,1000
0.15,0.21,1000
0.15,0.22,1000
0.15,0.23,1000
0.15,0.24,1000
0.15,0.25,1000
0.15,0.26,1000
0.15,0.27,1000
0.15,0.28,1000
0.15,0.29,1000
0.15,0.3,1000
0.15,0.31,1000
0.15,0.32,1000
0.15,0.33,1000
0.15,0.34,1000
0.15,0.35,1000
0.15,0.36,1000
0.15,0.37,16.5
0.15,0.38,11.6
0.15,0.39,10.4
0.15,0.4,9.1
0.15,0.41,9.0
0.15,0.42,8.1
0.15,0.43,8.0
0.15,0.44,7.8
0.15,0.45,7.0
0.15,0.46,7.0
0.15,0.47,7.0
0.15,0.48,6.5
0.15,0.49,6.0
0.15,0.5,6.0
0.15,0.51,6.0
0.15,0.52,6.0
0.15,0.53,6.0
0.15,0.54,5.5
0.15,0.55,5.0
0.15,0.56,5.0
0.15,0.57,5.0
0.15,0.58,5.0
0.15,0.59,5.0
0.15,0.6,5.0
0.15,0.61,5.0
0.15,0.62,4.7
0.15,0.63,4.0
0.15,0.64,4.0
0.15,0.65,4.0
0.15,0.66,4.0
0.15,0.67,4.0
0.15,0.68,4.0
0.15,0.69,4.0
0.15,0.7,4.0
0.16,0.0,1000
0.16,0.01,1000
0.16,0.02,1000
0.16,0.03,1000
0.16,0.04,1000
0.16,0.05,1000
0.16,0.06,1000
0.16,0.07,1000
0.16,0.08,1000
0.16,0.09,1000
0.16,0.1,1000
0.16,0.11,1000
0.16,0.12,1000
0.16,0.13,1000
0.16,0.14,1000
0.16,0.15,1000
0.16,0.16,1000
0.16,0.17,1000
0.16,0.18,1000
0.16,0.19,1000
0.16,0.2,1000
0.16,0.21,1000
0.16,0.22,1000
0.16,0.23,1000
0.16,0.24,1000
0.16,0.25,1000
0.16,0.26,1000
0.16,0.27,1000
0.16,0.28,1000
0.16,0.29,1000
0.16,0.3,1000
0.16,0.31,1000
0.16,0.32,1000
0.16,0.33,1000
0.16,0.34,1000
0.16,0.35,1000
0.16,0.36,20.0
0.16,0.37,13.5
0.16,0.38,10.9
0.16,0.39,10.0
0.16,0.4,9.0
0.16,0.41,9.0
0.16,0.42,8.0
0.16,0.43,8.0
0.16,0.44,7.3
0.16,0.45,7.0
0.16,0.46,7.0
0.16,0.47,7.0
0.16,0.48,6.4
0.16,0.49,6.0
0.16,0.5,6.0
0.16,0.51,6.0
0.16,0.52,6.0
0.16,0.53,6.0
0.16,0.54,5.9
0.16,0.55,5.0
0.16,0.56,5.0
0.16,0.57,5.0
0.16,0.58,5.0
0.16,0.59,5.0
0.16,0.6,5.0
0.16,0.61,5.0
0.16,0.62,4.9
0.16,0.63,4.3
0.16,0.64,4.0
0.16,0.65,4.0
0.16,0.66,4.0
0.16,0.67,4.0
0.16,0.68,4.0
0.16,0.69,4.0
0.16,0.7,4.0
0.17,0.0,1000
0.17,0.01,1000
0.17,0.02,1000
0.17,0.03,1000
0.17,0.04,1000
0.17,0.05,1000
0.17,0.06,1000
0.17,0.07,1000
0.17,0.08,1000
0.17,0.09,1000
0.17,0.1,1000
0.17,0.11,1000
0.17,0.12,1000
0.17,0.13,1000
0.17,0.14,1000
0.17,0.15,1000
